"uniform_id","prog_dur","reread_dur","lookback_dur","prog_z","reread_z","lookback_z","skip","reg.in","refix","rate","comprehension_score","Cluster_H3F"
"du_51",255.859259259259,617.552123552124,332,-0.559296796610671,-0.15288345307094,-0.389299448789807,0.133333333333333,0.255384615384615,0.373846153846154,176.5,-0.386373589202493,1
"du_53",315.028428093645,788.365,781.777777777778,0.536004048323284,1.06039038386533,1.98674015137174,0.21399730820996,0.296232876712329,0.251712328767123,164,1.12854077990044,3
"du_54",251.592841163311,428.617283950617,239.545454545455,-0.638273930097427,-1.49487653076616,-0.877708774613529,0.274380165289256,0.110478359908884,0.16628701594533,303.888888888889,-0.967085163652878,1
"du_55",188.706496519722,416.46218487395,306,-1.80238469554901,-1.58121348616302,-0.526649564016537,0.28649138712602,0.266836086404066,0.188055908513342,319.333333333333,-1.35331279327347,1
"du_56",339.826484018265,622.320512820513,543.75,0.99504939477693,-0.11901386393941,0.729311585797119,0.3265625,0.180974477958237,0.178654292343387,221.8,0.581109074468085,2
"du_57",184.254851228978,436.908045977012,236.666666666667,-1.88479063337696,-1.43598773465155,-0.892916537954484,0.353195164075993,0.180240320427236,0.0787716955941255,397.111111111111,-1.45258753513259,1
"du_6",247.746861924686,610.846808510638,247.666666666667,-0.709468175219492,-0.200510912296661,-0.834806873820098,0.392717815344603,0.285867237687366,0.123126338329764,301.636363636364,-0.594382605922825,1
"du_7",230.526785714286,517.321782178218,299.166666666667,-1.02823493153258,-0.864813685644827,-0.562747991736383,0.2173017507724,0.260526315789474,0.222368421052632,254.875,-0.839562475827395,1
"du_8",217.650943396226,539.374695863747,545.142857142857,-1.26658407937477,-0.708173133952982,0.736669627684265,0.311755952380952,0.277837837837838,0.136216216216216,263.1,-0.498084683630524,1
"ee_1",225.879041916168,501.215384615385,290.28,-1.11427091630979,-0.979216482299579,-0.609693556761314,0.321008403361345,0.221534653465347,0.121287128712871,309.444444444444,-0.922381378242183,1
"ee_12",250.558370044053,581.174089068826,291.777777777778,-0.657423380956786,-0.411274497092841,-0.601781250978167,0.354744525547445,0.311085972850679,0.0927601809954751,278.6,-0.566886076804017,1
"ee_14",303.540137614679,742.22962962963,491.5,0.323340350043546,0.732693555665055,0.453290681158786,0.278757346767422,0.231664726426077,0.162980209545984,200.777777777778,0.48513141106457,2
"ee_15",288.080193236715,695.127659574468,456.960784313725,0.0371559997578101,0.398131026630413,0.270830479068375,0.188102893890675,0.299009900990099,0.26039603960396,167.222222222222,0.215550851612761,2
"ee_16",240.693710118505,617.986928104575,281.345238095238,-0.840031495356383,-0.149795061852194,-0.656893194343716,0.299870466321244,0.224791859389454,0.129509713228492,261.363636363636,-0.578019075001326,1
"ee_19",203.456764295676,502.005905511811,331.857142857143,-1.52933741304914,-0.973601458765459,-0.390054119752592,0.141592920353982,0.217231222385862,0.227540500736377,239.833333333333,-1.02083163877507,1
"ee_2",253.464114832536,557.005464480874,318.358024691358,-0.603634139284384,-0.582942819160143,-0.461365867272968,0.373780487804878,0.190847127555988,0.0876338851022395,316.583333333333,-0.554746261643687,1
"ee_21",283.13856427379,692.415335463259,433.757961783439,-0.0543201944336606,0.378865547646304,0.148257004140678,0.21684350132626,0.262489415749365,0.168501270110076,203,0.13640868776263,2
"ee_22",279.00823723229,674.65306122449,379.022222222222,-0.130778099581368,0.252701156140599,-0.140895308772918,0.332589285714286,0.352842809364548,0.100334448160535,220.666666666667,-0.0187694856222429,2
"ee_24",211.456674473068,644.486404833837,558.529411764706,-1.38124832291474,0.0384291661844186,0.807386736138105,0.245794392523364,0.245353159851301,0.178438661710037,215.125,-0.29875455846914,1
"ee_27",277.293398533007,613.263959390863,311.269230769231,-0.162522068835135,-0.183342031449444,-0.498813815812303,0.301310043668122,0.175,0.17875,253.222222222222,-0.269655581712578,1
"ee_28",255.320531757755,777.612410986775,832.128712871287,-0.569269366771976,0.984015375140188,2.25272887202048,0.125,0.21195652173913,0.187888198757764,116.909090909091,0.74331552743941,3
"ee_29",270.673383711167,568.405405405405,319.927536231884,-0.285067441208577,-0.501969707800044,-0.45307461377524,0.228590250329381,0.166524338172502,0.207514944491887,233.454545454545,-0.400540272956016,1
