"uniform_id","lang","skip","reg.in","refix","rate","acc","nfix_total","skip_z","regin_z","refix_z","rate_z"
"du_41","du",0.14027149321267,0.234210526315789,0.205263157894737,240.428571428571,0.791666666666667,1217,-1.26474001326706,0.111941072971612,-0.408606530723993,0.391598859619057
"du_42","du",0.179874213836478,0.26840490797546,0.208588957055215,222.333333333333,0.541666666666667,966,-0.697795133426109,0.542323917699217,-0.370707553225938,0.101541230041892
"du_43","du",0.373906705539359,0.336437718277066,0.131548311990687,284.6,0.958333333333333,1328,2.07993644564116,1.39860945383898,-1.2486203593969,1.09964479960795
"du_44","du",0.176029962546816,0.181818181818182,0.225454545454545,193.1,0.75,1730,-0.752828690494038,-0.547487908410537,-0.178516586665635,-0.367054503635534
"du_45","du",0.168279970215934,0.224709042076992,0.203222918531782,209.9,0.75,2055,-0.863776080006433,-0.00764804130241873,-0.431855976038116,-0.0977588938596818
"du_46","du",0.262608695652174,0.133254716981132,0.129716981132075,241.25,0.666666666666667,1059,0.486615687670475,-1.15872522670512,-1.26948919832945,0.404765949382757
"du_47","du",0.37705918242831,0.121449559255632,0.117531831537708,407.666666666667,0.666666666666667,1234,2.12506669434264,-1.30730920798387,-1.40834445927701,3.07234200455328
"du_48","du",0.335176991150442,0.24459234608985,0.19134775374376,292.714285714286,0.791666666666667,897,1.52548935401134,0.242610408427951,-0.567178820675024,1.22971274718676
"du_49","du",0.214525139664804,0.108108108108108,0.17923186344239,267.142857142857,0.791666666666667,975,-0.201739189019397,-1.47522953345762,-0.705244840823567,0.819815518021136
"du_5","du",0.29324055666004,0.343178621659634,0.177215189873418,293.875,0.791666666666667,1092,0.925135478352961,1.48345289983833,-0.728225743314507,1.24831841750503
"du_50","du",0.256324900133156,0.21307072515667,0.186213070725157,235.909090909091,0.833333333333333,1841,0.396658087804644,-0.154132103914299,-0.625690843437621,0.319153844002176
"du_51","du",0.133333333333333,0.255384615384615,0.373846153846154,176.5,0.75,1329,-1.36406536660511,0.378445809880043,1.51247254285403,-0.633144213295008
"du_53","du",0.21399730820996,0.296232876712329,0.251712328767123,164,0.75,1034,-0.20929552191849,0.892576788687373,0.120702665879126,-0.833512970568707
"du_54","du",0.274380165289256,0.110478359908884,0.16628701594533,303.888888888889,0.833333333333333,1128,0.655133767585796,-1.44539668773192,-0.852757201111827,1.40883605527652
